Transaction_ID,Client_ID,Transaction_Type,Amount,Department,Date
90,1387,expense,961.9,HR,2024-11-05
91,1001,income,94.49,Finance,2024-10-16
92,1389,expense,158.02,Marketing,2024-10-12
93,1565,expense,168.17,Marketing,2024-12-05
94,1105,expense,157.98,Marketing,2024-08-07
95,1771,income,966.92,Finance,2024-08-04
96,1821,income,16.2,HR,2024-12-21
97,1476,income,39.58,Sales,2024-11-13
98,1702,income,160.04,Finance,2024-10-10
99,1401,income,111.49,Marketing,2024-09-06
100,1729,expense,131.89,Marketing,2024-08-06
101,1555,expense,799.6,HR,2024-09-23
102,1161,expense,414.06,HR,2024-11-18
103,1201,expense,2.89,HR,2024-12-20
104,1957,income,280.47,Sales,2024-07-29
105,1995,income,262.03,Finance,2024-08-10
106,1269,income,60.49,Finance,2024-08-25
107,1862,income,563.72,HR,2024-07-16
108,1815,expense,605.49,Sales,2024-11-17
109,1270,expense,638.08,Finance,2024-09-04
110,1455,income,651.84,Marketing,2024-11-24
111,1461,income,0.03,Marketing,2024-12-05
112,1726,expense,1538.7,Marketing,2024-11-21
113,1251,expense,841.57,Finance,2024-11-18
114,1701,income,1171.61,HR,2024-09-07
115,1295,expense,7.88,Marketing,2024-07-23
116,1724,expense,1357.98,HR,2024-12-06
117,1719,income,829.81,Sales,2024-08-22
118,1748,income,907.68,Marketing,2024-10-28
119,1337,expense,48.96,Sales,2024-11-22
120,1878,expense,671.19,HR,2024-11-05
121,1052,expense,1608.4,Finance,2024-08-18
122,1791,income,567.45,HR,2024-12-24
123,1921,income,422.64,Marketing,2024-12-01
124,1216,expense,1455.97,Marketing,2024-07-13
125,1763,expense,292.54,HR,2024-10-16
126,1187,income,457.26,Marketing,2024-12-13
127,1379,expense,323.45,Marketing,2024-11-27
128,1492,expense,1350.39,Sales,2024-09-23
129,1040,expense,39.57,Finance,2024-12-04
130,1156,expense,347.69,HR,2024-08-14
131,1014,expense,580.7,Sales,2024-12-21
132,1812,expense,784.88,Marketing,2024-12-14
133,1064,expense,437.36,Sales,2024-09-20
134,1856,income,1198.0,Finance,2024-09-06
135,1838,expense,1423.58,HR,2024-10-05
136,1520,income,33.24,Finance,2024-12-14
137,1343,expense,257.39,Finance,2024-11-25
138,1128,income,11.87,Sales,2024-09-15
139,1647,income,199.8,Sales,2024-08-04
140,1471,income,384.87,Finance,2024-11-13
141,1062,income,1208.41,Marketing,2024-08-21
142,1138,expense,937.2,HR,2024-08-09
143,1498,expense,68.2,Marketing,2024-10-29
144,1592,expense,48.82,Marketing,2024-10-21
145,1391,income,444.91,HR,2024-10-19
146,1674,income,379.77,Sales,2024-08-05
147,1418,income,154.88,Marketing,2024-11-11
148,1288,income,1148.57,Sales,2024-09-08
149,1378,expense,1311.16,HR,2024-09-11
150,1772,income,257.59,Marketing,2024-07-16
151,1489,income,1105.01,Sales,2024-12-21
152,1230,income,242.21,Sales,2024-08-07
153,1040,income,667.45,Marketing,2024-07-18
154,1027,expense,323.08,HR,2024-07-12
155,1134,expense,65.39,Finance,2024-08-23
156,1200,income,1315.09,Sales,2024-12-22
157,1839,income,302.66,HR,2024-07-01
158,1779,income,663.05,Marketing,2024-11-20
159,1929,income,228.78,Sales,2024-10-19
160,1032,income,9.53,Sales,2024-07-21
161,1047,expense,52.97,Sales,2024-11-06
162,1502,expense,342.81,HR,2024-10-01
163,1406,expense,585.53,Sales,2024-11-17
164,1573,expense,203.79,Sales,2024-11-01
165,1727,expense,594.52,Marketing,2024-12-03
166,1804,expense,599.72,Sales,2024-08-08
167,1098,expense,608.59,HR,2024-12-12
168,1683,expense,339.15,Marketing,2024-08-29
169,1871,income,1231.88,Finance,2024-12-06
170,1725,expense,335.89,Marketing,2024-10-05
171,1986,expense,299.16,Sales,2024-10-12
172,1546,expense,111.18,Finance,2024-11-16
173,1960,expense,183.84,Marketing,2024-10-18
174,1738,expense,21.63,Sales,2024-07-29
175,1612,income,501.93,Marketing,2024-09-27
176,1942,expense,142.87,HR,2024-10-27
177,1461,income,181.31,Sales,2024-11-18
178,1642,income,736.61,HR,2024-08-20
179,1768,income,198.17,Sales,2024-10-16
180,1004,expense,138.67,HR,2024-12-29
181,1217,income,92.6,Finance,2024-11-24
182,1502,income,745.51,HR,2024-08-27
183,1766,expense,69.46,Marketing,2024-08-05
184,1397,income,302.34,Sales,2024-07-28
185,1870,expense,353.55,Marketing,2024-11-08
186,1794,expense,581.4,HR,2024-10-09
187,1392,income,501.58,Sales,2024-10-15
188,1206,expense,832.27,HR,2024-09-27
189,1014,income,22.89,Finance,2024-12-16
190,1857,expense,175.8,Finance,2024-08-04
191,1553,expense,164.35,Finance,2024-10-01
192,1891,expense,78.92,HR,2024-10-13
193,1460,expense,170.67,HR,2024-09-14
194,1690,income,185.36,Finance,2024-09-22
195,1574,income,368.95,HR,2024-09-14
196,1863,expense,544.88,Marketing,2024-08-19
197,1742,expense,239.91,HR,2024-10-08
198,1240,expense,635.54,Marketing,2024-12-05
199,1563,expense,204.86,Finance,2024-09-10
200,1095,expense,171.44,HR,2024-10-23
201,1899,expense,389.56,Finance,2024-09-15
202,1733,income,12.0,Sales,2024-10-29
203,1484,expense,41.58,HR,2024-08-23
204,1406,expense,270.62,HR,2024-09-09
205,1230,income,1431.59,Finance,2024-09-23
206,1748,expense,639.19,Finance,2024-10-10
207,1654,expense,46.13,Finance,2024-10-15
208,1170,expense,936.43,Sales,2024-12-26
209,1540,income,658.95,Sales,2024-07-28
210,1035,income,472.02,Finance,2024-10-16
211,1524,expense,858.21,HR,2024-07-21
212,1159,expense,258.85,HR,2024-12-02
213,1838,income,125.19,Finance,2024-07-27
214,1698,income,358.74,Marketing,2024-09-15
215,1242,expense,397.97,Sales,2024-08-19
216,1085,income,386.45,Sales,2024-12-04
217,1795,expense,416.29,Marketing,2024-12-14
218,1577,expense,1485.08,Finance,2024-08-26
219,1681,income,1162.65,HR,2024-10-27
220,1556,expense,1042.6,HR,2024-12-12
221,1573,income,808.27,Sales,2024-09-02
222,1952,income,1436.12,Marketing,2024-08-17
223,1645,expense,51.84,HR,2024-11-27
224,1795,expense,154.03,Sales,2024-12-05
225,1027,expense,341.65,HR,2024-12-03
226,1619,expense,937.14,HR,2024-11-28
227,1555,income,351.77,HR,2024-07-04
228,1339,income,689.23,Sales,2024-11-08
229,1797,income,74.81,Marketing,2024-08-30
230,1957,income,145.45,Finance,2024-10-04
231,1330,income,657.97,Marketing,2024-07-04
232,1639,income,90.0,HR,2024-09-03
233,1505,expense,216.44,Marketing,2024-11-17
234,1347,expense,153.85,HR,2024-11-18
235,1472,expense,215.29,Sales,2024-12-09
236,1230,expense,616.06,Sales,2024-11-01
237,1189,income,229.31,Sales,2024-10-01
238,1224,income,405.14,HR,2024-07-31
239,1384,expense,52.64,Marketing,2024-09-09
240,1376,expense,817.42,Finance,2024-11-18
241,1282,income,230.93,Finance,2024-12-29
242,1957,expense,522.82,Sales,2024-07-02
243,1632,expense,646.2,Finance,2024-12-08
244,1627,expense,117.65,HR,2024-08-19
245,1972,income,1080.0,Marketing,2024-11-12
246,1744,expense,478.85,Finance,2024-11-23
247,1258,expense,279.94,Finance,2024-12-26
248,1358,expense,100.65,Marketing,2024-07-08
249,1709,expense,1426.26,Finance,2024-08-24
250,1455,expense,703.39,Marketing,2024-08-12
251,1410,expense,116.61,HR,2024-07-30
252,1648,income,206.03,HR,2024-08-28
253,1317,expense,829.51,HR,2024-07-09
254,1676,expense,594.83,Sales,2024-09-06
255,1224,expense,725.76,HR,2024-12-14
256,1818,income,290.98,Finance,2024-09-19
257,1233,income,630.23,Sales,2024-11-16
258,1683,expense,244.28,Sales,2024-10-31
259,1663,expense,118.66,Sales,2024-11-07
260,1974,expense,500.76,HR,2024-07-23
261,1826,expense,1865.14,Sales,2024-07-22
262,1373,expense,185.97,HR,2024-12-01
263,1671,expense,308.99,HR,2024-11-17
264,1607,expense,560.43,Sales,2024-12-07
265,1471,expense,389.9,Sales,2024-07-09
266,1232,expense,927.12,Finance,2024-09-28
267,1691,income,717.2,Sales,2024-08-02
268,1112,expense,30.03,HR,2024-11-29
269,1829,expense,3225.56,Finance,2024-09-27
270,1496,income,697.98,Finance,2024-10-03
271,1441,income,997.19,HR,2024-09-07
272,1563,income,526.63,Sales,2024-08-07
273,1267,income,969.96,Sales,2024-11-16
274,1509,income,59.61,Marketing,2024-12-07
275,1806,expense,213.65,Sales,2024-09-02
276,1385,expense,1045.44,Marketing,2024-09-10
277,1386,expense,112.61,Finance,2024-07-20
278,1112,income,40.74,Finance,2024-08-03
279,1612,income,775.87,Finance,2024-10-19
280,1624,expense,902.38,Marketing,2024-08-11
281,1951,income,88.76,HR,2024-11-13
282,1080,expense,963.26,HR,2024-09-04
283,1698,expense,580.41,Finance,2024-07-21
284,1112,expense,367.07,Marketing,2024-09-17
285,1001,income,886.71,Marketing,2024-09-08
286,1641,expense,271.72,Finance,2024-07-05
287,1219,income,107.83,Sales,2024-09-05
288,1565,expense,167.63,Finance,2024-12-18
289,1854,expense,351.76,Marketing,2024-07-16
290,1996,income,378.93,Sales,2024-10-07
291,1735,income,818.87,HR,2024-09-11
292,1224,income,783.56,Sales,2024-08-04
293,1384,expense,435.38,HR,2024-09-21
294,1402,income,758.85,Marketing,2024-12-18
295,1637,expense,106.46,Finance,2024-10-18
296,1129,income,25.68,Finance,2024-08-08
297,1052,expense,1034.29,Finance,2024-07-10
298,1683,expense,39.28,Finance,2024-11-25
299,1729,expense,141.64,Finance,2024-07-01
300,1671,expense,594.24,Marketing,2024-07-06
301,1709,income,263.35,Marketing,2024-12-28
302,1415,income,1045.0,Finance,2024-12-21
303,1246,expense,176.9,Sales,2024-09-04
304,1835,income,5.97,Finance,2024-08-07
305,1438,expense,178.81,HR,2024-12-08
306,1202,income,431.46,HR,2024-09-05
307,1183,income,235.75,HR,2024-10-08
308,1122,income,382.72,HR,2024-09-15
309,1400,expense,1046.15,Finance,2024-08-04
310,1766,income,1217.97,HR,2024-08-14
311,1293,expense,154.61,Sales,2024-11-27
312,1279,income,310.08,Finance,2024-09-06
313,1836,expense,398.3,HR,2024-07-17
314,1883,income,1489.07,Finance,2024-07-05
315,1609,expense,3291.87,Finance,2024-08-26
316,1197,expense,134.21,Finance,2024-10-03
317,1981,income,649.1,Marketing,2024-12-15
318,1906,expense,237.43,HR,2024-07-30
319,1510,expense,4.07,Marketing,2024-12-17
320,1751,expense,4.65,Sales,2024-07-07
321,1143,expense,308.62,Sales,2024-11-01
322,1608,income,335.04,Marketing,2024-09-29
323,1200,expense,11.41,HR,2024-11-24
324,1123,income,580.66,Finance,2024-12-16
325,1186,income,174.07,Sales,2024-12-09
326,1325,expense,410.37,Sales,2024-11-27
327,1463,income,178.99,Sales,2024-08-21
328,1348,expense,91.44,HR,2024-07-06
329,1770,expense,261.43,Marketing,2024-10-17
330,1659,expense,132.16,Marketing,2024-10-03
331,1763,expense,382.64,HR,2024-11-30
332,1954,income,110.84,Sales,2024-09-04
333,1931,income,355.05,HR,2024-07-10
334,1402,expense,85.62,HR,2024-07-26
335,1345,income,555.81,Marketing,2024-11-10
336,1962,income,701.09,HR,2024-09-06
337,1510,income,58.49,HR,2024-10-06
338,1146,expense,315.37,Sales,2024-09-09
339,1147,expense,36.75,Finance,2024-08-19
340,1863,income,455.88,Sales,2024-07-17
341,1710,expense,153.54,Marketing,2024-07-11
342,1819,income,374.99,Finance,2024-08-22
343,1488,income,364.35,Sales,2024-08-19
344,1928,expense,1290.85,HR,2024-11-13
345,1935,expense,398.24,HR,2024-11-01
346,1639,expense,437.33,Finance,2024-08-31
347,1550,income,256.79,Finance,2024-09-14
348,1337,expense,1488.75,HR,2024-10-31
349,1871,expense,750.71,Marketing,2024-09-28
350,1640,expense,168.02,Sales,2024-07-29
351,1778,expense,929.62,HR,2024-10-10
352,1987,expense,283.17,Sales,2024-10-09
353,1952,expense,882.07,Sales,2024-10-18
354,1472,expense,865.49,Sales,2024-12-19
355,1945,expense,104.66,Sales,2024-10-17
356,1150,expense,603.89,Marketing,2024-12-20
357,1414,expense,171.7,Marketing,2024-07-29
358,1989,expense,176.55,Marketing,2024-08-28
359,1297,income,175.74,HR,2024-11-20
360,1610,income,646.53,HR,2024-09-08
361,1262,expense,130.57,HR,2024-10-04
362,1763,expense,0.45,Marketing,2024-08-13
363,1143,expense,628.05,Sales,2024-12-11
364,1345,income,93.88,Marketing,2024-09-22
365,1623,expense,55.18,HR,2024-10-29
366,1571,income,135.59,Finance,2024-08-26
367,1880,expense,238.94,HR,2024-10-25
368,1001,expense,323.04,Sales,2024-09-02
369,1896,expense,22.8,Marketing,2024-10-07
370,1303,expense,1762.93,Finance,2024-08-07
371,1253,expense,629.5,Finance,2024-11-22
372,1651,expense,195.19,Sales,2024-07-27
373,1452,income,191.87,Marketing,2024-07-17
374,1036,expense,297.6,Finance,2024-09-01
375,1159,expense,492.08,HR,2024-07-11
376,1008,expense,79.13,Sales,2024-09-02
377,1232,income,104.7,Finance,2024-08-08
378,1098,expense,981.04,Sales,2024-11-07
379,1658,income,148.03,Marketing,2024-10-23
380,1815,expense,239.18,Marketing,2024-12-29
381,1207,expense,1025.03,Marketing,2024-12-04
382,1130,expense,544.06,HR,2024-08-14
383,1403,expense,209.06,Finance,2024-09-26
384,1151,income,575.53,Marketing,2024-09-18
385,1053,income,9.94,HR,2024-12-06
386,1119,expense,665.23,Marketing,2024-12-24
387,1672,expense,333.76,Marketing,2024-07-09
388,1919,income,838.81,Finance,2024-12-02
389,1627,expense,1546.54,HR,2024-12-31
390,1586,expense,1300.42,Marketing,2024-10-13
391,1624,expense,1199.91,HR,2024-11-02
392,1967,expense,358.89,HR,2024-09-16
393,1419,income,223.25,Marketing,2024-08-14
394,1421,income,312.78,Marketing,2024-12-18
395,1103,expense,585.42,Sales,2024-10-16
396,1851,expense,1077.07,Finance,2024-11-27
397,1253,expense,115.96,Marketing,2024-10-07
398,1226,expense,1251.7,Sales,2024-12-08
399,1111,expense,844.19,Finance,2024-07-27
400,1509,expense,1928.2,Marketing,2024-08-09
401,1472,expense,1061.18,HR,2024-07-26
402,1098,expense,164.21,Finance,2024-09-21
403,1152,expense,56.0,HR,2024-12-20
404,1860,income,59.53,Sales,2024-12-20
405,1913,expense,172.11,Marketing,2024-07-26
406,1895,income,476.2,Sales,2024-09-08
407,1877,expense,815.64,Marketing,2024-09-05
408,1337,expense,1147.56,Marketing,2024-07-06
409,1705,expense,488.76,HR,2024-07-28
410,1821,income,2.82,Sales,2024-07-13
411,1162,income,103.09,HR,2024-09-01
412,1719,income,52.53,HR,2024-07-13
413,1956,expense,225.75,HR,2024-11-06
414,1680,income,347.93,Sales,2024-08-09
415,1995,expense,22.18,Marketing,2024-12-12
416,1160,expense,214.22,Marketing,2024-07-31
417,1579,expense,98.73,Sales,2024-07-17
418,1800,expense,520.74,Marketing,2024-11-14
419,1397,income,312.06,Sales,2024-10-17
420,1276,expense,341.91,Sales,2024-09-02
421,1815,expense,279.04,Marketing,2024-08-26
422,1915,income,1562.01,Finance,2024-11-18
423,1503,expense,120.87,HR,2024-12-12
424,1895,income,363.52,Sales,2024-11-19
425,1391,expense,665.94,Sales,2024-07-25
426,1134,expense,406.92,Finance,2024-10-30
427,1194,income,1322.68,Sales,2024-09-16
428,1400,expense,237.38,Sales,2024-08-26
429,1639,expense,311.51,Marketing,2024-09-09
430,1032,expense,46.34,Marketing,2024-09-26
431,1687,expense,469.52,Finance,2024-10-21
432,1459,expense,169.99,Sales,2024-10-08
433,1954,income,87.36,HR,2024-12-17
434,1882,income,393.21,Marketing,2024-12-17
435,1469,income,379.98,HR,2024-08-16
436,1374,expense,39.45,HR,2024-10-24
437,1021,expense,599.02,Finance,2024-12-19
438,1749,expense,488.78,Finance,2024-12-16
439,1669,expense,104.75,Sales,2024-11-08
440,1037,income,316.91,Finance,2024-09-28
441,1229,income,637.06,Marketing,2024-10-19
442,1364,income,376.91,Sales,2024-09-28
443,1562,income,251.67,Sales,2024-11-06
444,1437,income,194.55,HR,2024-11-16
445,1775,expense,471.31,HR,2024-11-12
446,1282,income,1399.33,HR,2024-07-12
447,1026,income,556.98,Sales,2024-12-13
448,1225,income,38.84,Finance,2024-12-29
449,1276,income,308.73,Finance,2024-10-14
450,1797,expense,1107.4,Finance,2024-10-30
451,1608,expense,49.61,Sales,2024-08-22
452,1283,expense,2249.31,Sales,2024-12-07
453,1878,expense,1488.65,Sales,2024-10-08
454,1959,income,40.75,Sales,2024-12-20
455,1480,expense,1354.63,Sales,2024-12-26
456,1452,income,225.6,Finance,2024-08-06
457,1828,income,931.23,Sales,2024-10-27
458,1815,income,270.97,Finance,2024-08-28
459,1658,income,290.67,Sales,2024-08-23
460,1515,income,502.89,Finance,2024-11-23
461,1546,income,744.67,Marketing,2024-07-01
462,1191,expense,17.19,Marketing,2024-11-26
463,1048,income,449.66,Finance,2024-07-28
464,1511,income,103.35,Marketing,2024-10-20
465,1016,expense,212.29,Marketing,2024-07-16
466,1171,income,213.83,Finance,2024-12-23
467,1219,income,316.55,Sales,2024-07-28
468,1157,expense,203.34,Sales,2024-11-27
469,1476,income,56.79,Finance,2024-10-20
470,1045,income,78.69,HR,2024-11-06
471,1372,expense,17.0,HR,2024-10-24
472,1517,income,317.67,Marketing,2024-12-17
473,1098,expense,1544.45,HR,2024-10-06
474,1891,expense,61.47,Marketing,2024-09-08
475,1744,income,1461.84,Sales,2024-09-30
476,1036,expense,660.93,Finance,2024-07-03
477,1279,expense,507.36,Sales,2024-09-19
478,1348,income,518.21,Finance,2024-08-13
479,1496,expense,876.45,HR,2024-12-02
480,1301,income,56.54,Sales,2024-12-26
481,1180,expense,351.35,Sales,2024-07-24
482,1606,income,597.16,Marketing,2024-11-25
483,1098,expense,441.94,Finance,2024-12-07
484,1699,income,894.22,HR,2024-10-07
485,1992,expense,37.51,Sales,2024-11-18
486,1115,income,586.72,Finance,2024-10-20
487,1190,expense,381.81,HR,2024-12-18
488,1252,expense,238.34,Sales,2024-11-25
489,1980,expense,207.97,Finance,2024-10-31
490,1927,expense,484.89,Marketing,2024-10-20
491,1982,expense,1108.18,Sales,2024-11-07
492,1160,expense,342.76,Finance,2024-09-06
493,1255,expense,870.69,HR,2024-09-29
494,1322,income,257.21,HR,2024-08-29
495,1127,expense,54.01,Marketing,2024-11-09
496,1017,expense,31.74,Sales,2024-11-01
497,1792,expense,26.35,Marketing,2024-10-04
498,1734,expense,239.14,Finance,2024-11-22
499,1565,income,205.67,HR,2024-11-06
500,1569,income,632.81,Marketing,2024-08-02
501,1322,expense,678.99,Sales,2024-07-30
502,1871,expense,26.1,Finance,2024-07-05
503,1685,expense,124.95,Sales,2024-10-26
504,1791,expense,160.28,Marketing,2024-11-17
505,1625,expense,396.61,HR,2024-12-07
506,1287,income,78.04,HR,2024-08-07
507,1942,expense,71.9,Marketing,2024-07-17
508,1853,expense,1439.32,Sales,2024-10-17
509,1662,income,815.34,Sales,2024-08-09
510,1961,expense,99.62,Sales,2024-11-29
511,1638,expense,260.92,Sales,2024-11-17
512,1154,income,219.73,HR,2024-10-19
513,1489,income,782.72,Sales,2024-11-05
514,1385,expense,356.89,Marketing,2024-10-03
515,1985,income,68.4,Marketing,2024-11-24
516,1784,expense,671.6,Marketing,2024-07-29
517,1103,expense,252.83,Marketing,2024-12-27
518,1928,expense,152.53,Sales,2024-11-22
519,1392,expense,235.4,HR,2024-09-11
520,1810,income,344.34,Finance,2024-07-21
521,1245,expense,210.12,Sales,2024-08-29
522,1175,income,138.47,Finance,2024-10-06
523,1038,expense,254.17,HR,2024-09-13
524,1476,income,9.68,Sales,2024-10-27
525,1681,expense,740.3,Finance,2024-11-25
526,1758,income,93.73,HR,2024-10-21
527,1537,income,22.45,Finance,2024-12-28
528,1866,income,530.22,Marketing,2024-10-22
529,1817,income,743.47,Marketing,2024-10-11
530,1920,expense,840.55,HR,2024-09-18
531,1407,income,340.12,HR,2024-09-01
532,1524,expense,114.94,Finance,2024-08-26
533,1827,expense,668.23,HR,2024-07-29
534,1505,expense,601.51,Marketing,2024-11-06
535,1902,income,141.36,Marketing,2024-11-01
536,1824,income,1168.63,Sales,2024-08-28
537,1035,expense,55.11,Finance,2024-09-24
538,1684,income,2028.18,HR,2024-09-09
539,1019,income,983.94,HR,2024-09-27
540,1320,expense,582.21,HR,2024-10-06
541,1775,expense,1396.39,Finance,2024-08-13
542,1511,expense,640.63,Marketing,2024-12-23
543,1399,income,105.64,HR,2024-10-24
544,1653,expense,291.84,HR,2024-09-13
545,1971,income,37.09,Marketing,2024-11-20
546,1882,income,246.87,HR,2024-12-10
547,1470,expense,676.63,Sales,2024-07-23
548,1142,income,244.24,Marketing,2024-12-28
549,1091,income,200.46,Marketing,2024-08-14
550,1353,income,452.37,Marketing,2024-09-30
551,1833,expense,1028.66,Sales,2024-07-13
552,1799,expense,24.38,Marketing,2024-08-03
553,1726,expense,243.45,Finance,2024-12-13
554,1958,expense,86.13,Finance,2024-09-08
555,1853,income,594.3,Finance,2024-10-16
556,1050,expense,55.87,Marketing,2024-11-10
557,1664,income,546.53,Marketing,2024-11-03
558,1697,income,168.56,Marketing,2024-12-15
559,1574,expense,110.9,Sales,2024-07-21
560,1189,expense,1377.2,Finance,2024-12-03
561,1124,income,9.35,HR,2024-11-08
562,1149,income,287.93,HR,2024-07-23
563,1313,income,10.93,Marketing,2024-07-19
564,1569,income,330.43,Sales,2024-08-19
565,1341,expense,347.62,Marketing,2024-07-20
566,1304,expense,194.06,HR,2024-10-24
567,1691,expense,70.87,Finance,2024-09-30
568,1681,expense,236.11,HR,2024-10-01
569,1837,income,557.77,Finance,2024-09-21
570,1782,expense,762.54,Finance,2024-08-22
571,1053,expense,378.31,Sales,2024-10-31
572,1443,expense,445.6,HR,2024-09-23
573,1612,expense,111.96,Marketing,2024-09-20
574,1992,expense,169.37,Sales,2024-07-09
575,1263,income,88.31,Finance,2024-07-04
576,1052,expense,143.37,HR,2024-12-16
577,1571,income,127.37,Marketing,2024-07-25
578,1619,income,366.41,Sales,2024-08-03
579,1004,income,413.56,Marketing,2024-09-11
580,1102,income,1449.73,HR,2024-11-14
581,1195,expense,108.81,Marketing,2024-09-20
582,1773,expense,513.16,Sales,2024-11-18
583,1876,expense,849.84,Marketing,2024-11-14
584,1991,expense,410.76,HR,2024-07-04
585,1883,expense,147.19,Sales,2024-12-09
586,1349,income,152.28,Finance,2024-07-07
587,1046,income,20.02,Sales,2024-07-15
588,1866,expense,182.24,HR,2024-08-07
589,1822,expense,682.47,Marketing,2024-09-29
590,1935,expense,24.34,Finance,2024-08-21
591,1819,income,123.78,Finance,2024-09-19
592,1655,income,612.48,Marketing,2024-10-08
593,1268,expense,763.13,HR,2024-07-07
594,1369,income,303.78,Sales,2024-10-15
595,1635,income,598.79,HR,2024-08-14
596,1105,expense,245.47,Finance,2024-08-28
597,1669,income,87.13,Sales,2024-10-30
598,1658,expense,253.87,Sales,2024-07-21
599,1656,income,433.71,Marketing,2024-12-03
600,1119,income,1478.77,HR,2024-07-03
601,1830,income,35.61,Sales,2024-11-19
602,1786,expense,354.02,Marketing,2024-07-02
603,1603,income,199.43,HR,2024-07-29
604,1057,expense,354.96,Finance,2024-11-23
605,1950,income,12.13,Finance,2024-08-06
606,1345,expense,187.73,HR,2024-12-20
607,1740,income,857.03,Sales,2024-08-14
608,1473,expense,403.65,Sales,2024-11-29
609,1116,expense,299.45,Finance,2024-10-28
610,1829,expense,168.1,Finance,2024-08-15
611,1790,income,176.94,Sales,2024-11-17
612,1126,income,241.53,HR,2024-08-22
613,1392,income,902.64,Finance,2024-08-14
